Model,Accuracy
GradientBoosting,0.8389986824769433
DecisionTree,0.8376811594202899
RandomForest,0.8355731225296442
XGBoost,0.8355731225296442
SVM,0.8347826086956521
LogisticRegression,0.810540184453228
