name,price,roi_forecast,days,amount_to_buy
Bitcoin,101034.20123844997,0.8755757984444353,7,0.0009897638500055129
Ethereum,3936.1587577344394,0.7204519311310025,7,0.02540547934036016
XRP,2.4450916043617155,1.890141694616982,7,40.898263206831764
Tether USDt,1.0001618736799525,-6.998624303962446,7,99.9838152518895
Solana,224.45428519729808,2.8168884429818233,7,0.44552502043834347
BNB,717.0914204126991,-1.2920503394359935,7,0.1394522332207631
Dogecoin,0.41004736220896676,-4.97649712324878,7,243.87426725851827
USDC,1.0000067252267826,10.107497613605076,7,99.99932748184457
Cardano,1.11217714663419,-1.7315738573391255,7,89.9137338890954
TRON,0.2906304420483706,1.385255797957786,7,344.07957850250483
Avalanche,52.27707420787517,-1.6305706521941534,7,1.912884405166954
Chainlink,28.102574558738073,5.399192856363169,7,3.5583928366060147
Shiba Inu,2.8245410184044894e-05,-8.39234565482127,7,3540398.2221680544
Toncoin,6.376925037603538,-2.464242554897902,7,15.681539207426564
Sui,4.813471718727609,-1.868087704711854,7,20.775025977805882
Polkadot,9.08384906166542,-1.540206114843145,7,11.008549274779137
Stellar,0.44562537639177185,-3.3339202417858727,7,224.40373752881823
Hedera,0.3123864115424687,3.207009119275593,7,320.11635687426525
Bitcoin Cash,540.1672537929894,-2.0522357966901916,7,0.1851278456770788
Uniswap,17.365224246930733,-5.796308595861848,7,5.758635683479572
Pepe,2.4385806099969382e-05,9.290094596477276,7,4100746.130353491
Litecoin,121.9195054347494,2.059961728552894,7,0.8202133009268103
UNUS SED LEO,9.45479853359088,0.8740623327255953,7,10.576639961678861
NEAR Protocol,6.997207947536624,-4.038764773092721,7,14.29141462563009
Aptos,14.44191455834071,2.1832649791060694,7,6.924289684448141
Internet Computer,13.519230421510601,-1.4840297820397705,7,7.396870745015845
Ethena USDe,1.0013111891980346,1.6719046879039499,7,99.86905277678113
Aave,365.1651994563821,-0.9493082333171019,7,0.2738486584944815
Dai,1.0000519111255621,-2.986256790836459,7,99.9948091569063
POL (ex-MATIC),0.6250847567761901,3.0193221218973387,7,159.97830520734442
Ethereum Classic,34.60222324127376,-5.01019296661978,7,2.8899877127178155
Cronos,0.18694626986575505,2.406422287829076,7,534.9130532094027
VeChain,0.06051996233337842,4.617319019473609,7,1652.3473601841165
Render,9.413509778626343,-5.881041168951867,7,10.623030341674792
Bitget Token,3.233048852721262,2.000370646027869,7,30.930556436173195
Artificial Superintelligence Alliance,1.79562673622388,2.1921410139060944,7,55.69086157087156
Arbitrum,1.0544815892412958,6.611260015562426,7,94.83332949601372
Bittensor,587.4137998335037,-1.0756112595302412,7,0.17023774386700474
Mantle,1.26740978072092,8.313768318853244,7,78.90107960435546
Filecoin,6.78672052292693,2.02867427498114,7,14.734657138477935
Kaspa,0.16173432035915164,2.702628212285763,7,618.2979578974782
Monero,205.9512595492853,2.113271447210497,7,0.48555177675943967
MANTRA,3.9356202175019406,3.9026681796846554,7,25.408955761354708
Algorand,0.439817982719572,-2.1154700294457216,7,227.3667833717477
Cosmos,9.170993899951242,2.8410455208996663,7,10.903943573720145
Fantom,1.269013172247427,-0.36906749535354944,7,78.80138850166514
Stacks,2.3156782657518833,-0.4888151903516747,7,43.18389194171184
OKB,55.122727643243046,0.37401330649238834,7,1.8141337389398584
Celestia,7.248390742987037,-0.6896754033928852,7,13.796165734684212
Immutable,1.926870697406624,2.076451295593269,7,51.89761831688553
Optimism,2.596666518327175,2.4965778056188888,7,38.51091362491246
Bonk,3.952363235792688e-05,2.3825759981978867,7,2530131.823269628
Ethena,1.0134839608512307,4.196059143838528,7,98.66954373506755
dogwifhat,2.9743141587702917,-1.9916341762751866,7,33.621196236158276
Injective,29.142015503518834,-0.6202766394494624,7,3.4314716491700863
Ondo,1.965745047265647,6.164954815482353,7,50.871296936039634
The Graph,0.28583133421418405,-1.215383389949187,7,349.8566743038266
Theta Network,2.716600323096888,-3.026428364294014,7,36.810714903398576
Sei,0.6086862862689114,-2.347093813827986,7,164.2882421632562
JasmyCoin,0.0481085719502638,5.473067286937511,7,2078.6316439278894
Worldcoin,3.0864429237588085,-0.3795091140552198,7,32.399756765375564
Virtuals Protocol,2.3754628607466146,-12.013822791980147,7,42.097058915317966
FLOKI,0.00024302716752002386,0.14913749698207143,7,411476.63045433245
THORChain,6.6351992274373615,2.011905103339267,7,15.071137515583217
Lido DAO,2.1888253641615103,-1.4039554491676585,7,45.68660507929912
First Digital USD,1.0022963123995687,1.1409065573036263,7,99.77089485702375
Gala,0.05233219288031001,1.5838059632676875,7,1910.8696673329162
The Sandbox,0.7838942804243707,-2.947186272713129,7,127.56822252340429
Maker,2073.2989806682367,-1.2956651734920959,7,0.048232310405983705
Beam,0.03690221550999051,1.0222467736453056,7,2709.8643975163786
Brett (Based),0.17857680463857997,-2.3016882139749346,7,559.983141160965
Quant,141.9582182875681,-11.024410311871911,7,0.7044326225441042
EOS,1.1015771412547377,-3.4677965877076513,7,90.77893526920525
Flare,0.030404619144503157,1.4729625719494865,7,3288.973939279847
Pyth Network,0.45283775292827433,5.622167161561177,7,220.8296445103135
Raydium,5.588804231380182,-2.3213318646649084,7,17.892915167526724
KuCoin Token,13.510181195334965,-5.987882904210811,7,7.401825227520248
Kaia,0.27549459052344477,-1.73273693310985,7,362.98353376013
Aerodrome Finance,2.1947129651647024,-1.2286102207110885,7,45.56404486018767
Ethereum Name Service,43.86850939127532,-1.8288914033972117,7,2.279539500831279
Flow,0.9939191831316423,-0.8416281043462602,7,100.61180194240725
Arweave,23.30137316505385,2.978284703218238,7,4.291592572319928
