Model,Accuracy,Cross_Validation_Mean
GradientBoosting,0.8389986824769433,0.8333145115753812
DecisionTree,0.8376811594202899,0.8341050254093731
XGBoost,0.8355731225296442,0.8336533032185207
RandomForest,0.8350461133069829,0.8319593450028233
SVM,0.8347826086956521,0.8365894974590627
LogisticRegression,0.810540184453228,0.8176171654432525
