,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
5361,CDISCOUNT,4,11,Promoteur,1,0,2,1,0,1,2,0,0
5362,CDISCOUNT,5,2,Promoteur,1,1,1,0,0,0,0,0,0
5363,CDISCOUNT,1,106,Détracteur,-1,10,17,6,3,9,10,0,0
5364,CDISCOUNT,1,18,Détracteur,-1,1,3,2,0,3,4,0,0
5365,CDISCOUNT,5,4,Promoteur,1,3,1,0,0,0,0,0,0
5366,CDISCOUNT,1,8,Détracteur,-1,0,1,1,0,2,2,0,0
5367,CDISCOUNT,5,27,Promoteur,1,0,6,3,1,0,5,0,0
5368,CDISCOUNT,1,208,Détracteur,-1,12,32,15,7,13,24,0,0
5369,CDISCOUNT,3,4,Neutre,0,0,0,1,0,1,2,0,0
5370,CDISCOUNT,1,61,Détracteur,-1,1,13,2,5,4,5,0,0
5371,CDISCOUNT,5,8,Promoteur,1,2,2,0,1,1,0,0,0
5372,CDISCOUNT,5,2,Promoteur,1,0,1,0,0,0,0,0,0
5373,CDISCOUNT,1,148,Détracteur,-1,8,26,6,7,5,20,0,0
5374,CDISCOUNT,5,4,Promoteur,1,1,0,0,1,0,1,0,0
5375,CDISCOUNT,5,3,Promoteur,1,0,0,1,0,1,1,0,0
5376,CDISCOUNT,2,15,Détracteur,-1,2,3,1,0,1,1,0,0
5377,CDISCOUNT,1,94,Détracteur,-1,3,17,6,2,4,13,0,0
5378,CDISCOUNT,4,5,Promoteur,1,1,2,0,0,0,0,0,0
5379,CDISCOUNT,5,47,Promoteur,1,3,10,5,0,1,5,0,0
5380,CDISCOUNT,5,6,Promoteur,1,1,2,0,0,1,0,0,0
5381,CDISCOUNT,5,4,Promoteur,1,0,3,0,0,0,0,0,0
5382,CDISCOUNT,5,10,Promoteur,1,0,1,1,2,1,1,0,0
5383,CDISCOUNT,5,4,Promoteur,1,1,1,0,1,0,0,0,0
5384,CDISCOUNT,2,17,Détracteur,-1,2,3,1,1,2,3,0,0
5385,CDISCOUNT,5,13,Promoteur,1,4,4,0,0,1,2,0,0
5386,CDISCOUNT,1,52,Détracteur,-1,6,8,3,0,7,5,0,0
5387,CDISCOUNT,5,5,Promoteur,1,1,0,1,0,1,1,0,0
5388,CDISCOUNT,5,7,Promoteur,1,0,2,1,1,0,1,0,0
5389,CDISCOUNT,5,22,Promoteur,1,2,6,2,0,0,3,0,0
5390,CDISCOUNT,5,16,Promoteur,1,1,2,2,1,0,2,0,0
5391,CDISCOUNT,1,51,Détracteur,-1,3,10,3,4,2,6,0,0
5392,CDISCOUNT,5,4,Promoteur,1,3,1,0,0,0,0,0,0
5393,CDISCOUNT,5,3,Promoteur,1,1,0,0,0,0,1,0,0
